company,date,open,high,low,close,average,volume,value,out_shares,sector,sub_sector
MONDE,"Dec 22, 2023",8.14,8.37,7.99,8.37,8.22,"5,218,600","42,888,763.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Dec 21, 2023",7.95,8.14,7.83,8.14,8.07,"4,296,800","34,661,899.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Dec 20, 2023",7.85,8.00,7.83,7.95,7.90,"8,749,400","69,161,684.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
NIKL,"Feb 02, 2024",4.71,4.79,4.69,4.77,4.75,"993,000","4,715,610.00","13,931,125,094",MINING &amp; OIL,MINING
NIKL,"Feb 01, 2024",4.84,4.84,4.70,4.70,4.76,"1,463,000","6,968,130.00","13,931,125,094",MINING &amp; OIL,MINING
NIKL,"Jan 31, 2024",4.83,4.87,4.78,4.84,4.84,"1,052,000","5,089,570.00","13,931,125,094",MINING &amp; OIL,MINING
NIKL,"Jan 30, 2024",4.75,4.83,4.75,4.83,4.80,"588,000","2,823,240.00","13,931,125,094",MINING &amp; OIL,MINING
NIKL,"Jan 29, 2024",4.82,4.87,4.74,4.74,4.78,"879,000","4,205,150.00","13,931,125,094",MINING &amp; OIL,MINING
NIKL,"Jan 26, 2024",4.79,4.87,4.79,4.83,4.84,"528,000","2,553,790.00","13,931,125,094",MINING &amp; OIL,MINING
NIKL,"Jan 25, 2024",4.84,4.86,4.79,4.79,4.81,"1,225,000","5,892,510.00","13,931,125,094",MINING &amp; OIL,MINING
NIKL,"Jan 24, 2024",4.87,4.88,4.80,4.84,4.84,"1,212,000","5,861,930.00","13,931,125,094",MINING &amp; OIL,MINING
